source_id,issuer,source_title,source_date_or_retrieved_date,source_url,source_location,variables_supported,quality_and_use_note
S11,Connecticut Public Utilities Regulatory Authority,PURA ruling sets distribution rates for UI customers,2023-08-25,https://portal.ct.gov/pura/press-releases/2023/pura-ruling-sets-distribution-rates-for-united-illuminating-customers?archived=true,Press release summary,About 6.6% base-distribution increase and about 2% overall-bill increase,Official regulator summary; used as a plain-language cross-check
S12,Avangrid / SEC,Form 8-K reporting completion of Iberdrola-USA / UIL combination,2015-12-17,https://www.sec.gov/Archives/edgar/data/1634997/000119312515407879/d105528d8k.htm,Item 2.01,Ownership change underlying UI's MTC coding from 2016,Company filing with the U.S. Securities and Exchange Commission
S13,Avangrid,Company profile,2026-08-09,https://www.avangrid.com/aboutus/companyprofile,Company overview,Avangrid relationship to the Iberdrola group,Official company source used with the SEC merger filing
S14,Eversource Energy,Eversource ownership source used in project crosswalk,2026-08-09,https://investors.eversource.com/static-files/1526fda9-4ffa-4cfd-bbd7-c9c18f56d3fe,Corporate document,Domestic parent evidence for CL&P / Eversource Connecticut,Official company source
S15,Connecticut Office of the Attorney General,Final brief in Docket 22-08-08,2023-04-27,https://portal.ct.gov/-/media/AG/Press_Releases/2023/22-08-08_AG-Brief_Final-42723.pdf,Capital structure and comparison discussion,UI's 2013-approved 50% equity ratio; CL&P 9.25% current authorized ROE at filing,Official state filing; not used for the final 2023 UI penalty because the later final decision controls
S16,Connecticut Office of the Attorney General,Brief in Docket 20-08-03 discussing prior performance penalties,2021-02-05,https://portal.ct.gov/-/media/AG/Press_Releases/2019/AG-Brief_Docket-No-20-08-03_020521.pdf,Discussion of the 2014 CL&P rate decision,Exact 15 bp one-year CL&P storm-response adjustment,Official state filing used to verify the exact basis-point adjustment
S17,Avangrid / SEC,"Quarterly report for the quarter ended September 30, 2018",2018-09-30,https://www.sec.gov/Archives/edgar/data/1634997/000163499718000029/avangrid2018q310-q.htm,UI rate-plan discussion,2016 PURA decision effective 2017; 9.10% ROE and 50% equity ratio,Stable SEC-filed corroboration used as the primary website link for the 2017-2022 ROE
S18,Massachusetts Department of Public Utilities,"Final Order, D.P.U. 17-05",2017-11-30,https://www.mass.gov/doc/dpu-17-05/download,pp. 713-714 and schedules 1 and 3,"NSTAR carried-in 10.50% ROE; approved 10.00% ROE, 53.34% equity ratio, and $2,732.852m rate base",Official regulator final order; SEC filing S27 supplies the compliance-rate effective date
S19,Eversource Energy / SEC,2022 Annual Report,2023-03-24,https://www.sec.gov/Archives/edgar/data/13372/000110465923036619/tm231858d6_ars.pdf,Massachusetts distribution rate-case discussion,"D.P.U. 22-22 approved 9.80% ROE, 53.2% equity ratio, and a $64m base-distribution increase",Company annual report filed with the U.S. Securities and Exchange Commission
S20,Massachusetts Department of Public Utilities,2022 Annual Report,2023,https://www.mass.gov/doc/dpu-annual-report-2022/download,Electric distribution rate-case summary,D.P.U. 22-22 decision date and 2023-01-01 effective date,Official regulator cross-check for timing of the NSTAR decision
S21,National Grid,Annual Report and Accounts 2015/16,2016,https://www.nationalgrid.com/document/138981/download,US regulated returns table,Massachusetts Electric 10.35% allowed ROE and 50:50 equity-to-debt ratio before D.P.U. 15-155,Official company annual report; used for the carried-in 2013-2015 rate
S22,Massachusetts Department of Public Utilities,"Final Order, D.P.U. 15-155",2016-09-30,https://www.mass.gov/doc/grid-elec-rate-case-dpu-15-155/download,Introduction and company description,"Prior D.P.U. 09-39 rate plan, 2016 effective timing, and National Grid plc parent incorporated in England and Wales",Official regulator final order; also supports MTC ownership coding
S23,National Grid / SEC,"Half-year results, 2016/17",2016-11-10,https://www.sec.gov/Archives/edgar/data/1004315/000119312516765037/d291640dex991.htm,Massachusetts rate-case summary,"D.P.U. 15-155 approved 9.90% ROE, 51% equity ratio, and $101m annual revenue increase",Company results filed with the U.S. Securities and Exchange Commission
S24,National Grid / SEC,"Half-year results, 2019/20",2019-11-14,https://www.sec.gov/Archives/edgar/data/1004315/000100431519000140/resultsstatementhy201920.htm,Massachusetts Electric rate-case summary,"D.P.U. 18-150 approved 9.60% ROE, 53.5% equity ratio, and $42m initial annual revenue increase",Company results filed with the U.S. Securities and Exchange Commission
S25,Massachusetts Department of Public Utilities,Financing the Transition work-group final recommendations,2025-06-30,https://www.mass.gov/doc/final-recommendations-from-the-financing-the-transition-focus-area-work-group/download,"p. 6, table of recently authorized ROEs",D.P.U. 23-150 approved 9.35% ROE and 52.83% equity ratio for Massachusetts Electric,Official regulator document summarizing the final order's capital parameters
S26,Massachusetts Department of Public Utilities,D.P.U. 23-150 National Grid electric base distribution rate case,2026-08-09,https://www.mass.gov/info-details/dpu-23-150-national-grid-electric-base-distribution-rate-case,Case overview and key dates,Final-order date and November 2024 customer-bill timing,Official regulator case page used to cross-check the 2024 timing
S27,Eversource Energy / SEC,2017 Form 10-K,2018-02-22,https://www.sec.gov/Archives/edgar/data/72741/000007274118000028/a201710kdocument.htm,NSTAR Electric distribution rate-case discussion,D.P.U. 17-05 decision issued 2017-11-30; new rates took effect 2018-02-01 after the compliance filing; 10.00% ROE,Company filing with the U.S. Securities and Exchange Commission used to verify effective timing
