panel_id,utility_id_eia,utility_name_eia,display_name,state,ownership_2024,eia_entity_type,residential_customers_2024,residential_sales_mwh_2024,ultimate_parent_or_owner_2024,parent_country_or_level,price_class_coverage_2013_2024,ownership_time_varies_2013_2024,ownership_history_note,selection_reason,claude_assignment,claude_audit,ownership_source_id,ownership_source_url,history_source_url,pudl_source_url
DOM_NH_PSNH,15472,Public Service Co of NH,Public Service Company of New Hampshire,NH,DOM,Investor Owned,459907,3410560,Eversource Energy,United States,See rebuilt price panel,No,DOM throughout the proposed panel,Fourth-largest 2024 DOM utility in the regional PUDL roster,DOM,Matches independently verified 2024 classification,DOM-EVERSOURCE-PSNH-2024,https://www.eversource.com/residential/about/doing-business-with-us/affiliates/list-of-affiliates,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_RI_RIE,13214,The Narragansett Electric Co,Rhode Island Energy (legal entity: Narragansett Electric),RI,DOM,Investor Owned,451381,3027335,PPL Corporation,United States,See rebuilt price panel,Yes,MTC through 2021 under National Grid; acquired by PPL on 2022-05-25; code DOM from 2022 under an end-of-year ownership rule,Fifth-largest 2024 DOM utility in the regional PUDL roster,DOM,Matches 2024 but cannot be applied unchanged to 2013-2021,DOM-PPL-2024,https://investors.pplweb.com/2024-04-02-PPL-Corporation-subsidiary-Rhode-Island-Energy-receives-regulatory-approval-for-planned-spending-to-strengthen-network-safety%2C-reliability-and-resilience,https://investors.pplweb.com/2022-05-25-PPL-Corporation-completes-acquisition-of-Rhode-Islands-primary-electric-and-natural-gas-utility,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_NY_ORU,14154,Orange & Rockland Utils Inc,Orange & Rockland Utilities,NY,DOM,Investor Owned,211011,1750770,Consolidated Edison Inc.,United States,See rebuilt price panel,No,DOM throughout the proposed panel,Sixth-largest 2024 DOM utility in the regional PUDL roster,DOM,Matches independently verified 2024 classification,DOM-CONED-ORU-2024,https://www.conedison.com/en/about-us/corporate-governance/corporate-leadership/michelle-oconnoll,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_NH_UNITIL,24590,Unitil Energy Systems,Unitil Energy Systems,NH,DOM,Investor Owned,68602,495521,Unitil Corporation,United States,See rebuilt price panel,No,DOM throughout the proposed panel,Seventh-largest 2024 DOM utility in the regional PUDL roster,DOM,Matches independently verified 2024 classification,DOM-UNITIL-2024,https://unitil.com/electric-gas-service/pricing-rates/rates/ferc-oatt-information/transmission-service-information-nh,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_MA_FITCHBURG,6374,Fitchburg Gas & Elec Light Co,Fitchburg Gas & Electric Light,MA,DOM,Investor Owned,26290,164122,Unitil Corporation,United States,See rebuilt price panel,No,DOM throughout the proposed panel,Eighth-largest 2024 DOM utility in the regional PUDL roster,DOM,Claude used the full legal name; independently matched to the EIA entity,DOM-UNITIL-FITCHBURG-2024,https://unitil.com/electric-gas-service/pricing-rates/rates/ferc-oatt-information/transmission-service-information-ma,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric Co,FirstEnergy Pennsylvania Electric,NY,DOM,Investor Owned,3400,30556,FirstEnergy Corp.,United States,See rebuilt price panel,Yes,The current EIA entity begins in 2024 after four Pennsylvania utilities consolidated; earlier years remain blank rather than being stitched to predecessor IDs,Ninth-largest 2024 DOM utility in the regional PUDL roster; only its New York-reported customers are in scope,DOM,Matches independently verified 2024 classification,DOM-FIRSTENERGY-2024,https://www.firstenergycorp.com/about/utilities.html,https://www.firstenergycorp.com/newsroom/news_articles/firstenergy-pennsylvania-subsidiaries-receive-approval-to-consolidate.html,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
DOM_NY_FISHERS,6369,Fishers Island Utility Co Inc,Fishers Island Electric,NY,DOM,Investor Owned,657,5018,Fishers Island Utility Co. / Fishers Island Development Corp.,United States,See rebuilt price panel,No,DOM throughout the proposed panel,Tenth-largest qualifying 2024 DOM utility; retained transparently despite its very small size,DOM,Matches independently verified 2024 classification,DOM-FISHERS-2024,https://fiuc.net/about/,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_NH_NHEC,13441,New Hampshire Elec Coop Inc,New Hampshire Electric Cooperative,NH,COOP,Cooperative,74144,514355,Member-owned cooperative,Local/member-owned,See rebuilt price panel,No,COOP throughout the proposed panel,Largest 2024 COOP-bucket utility in the regional PUDL roster,COOP,Matches independently verified 2024 classification,COOP-NHEC-2024,https://www.nhec.com/about/,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_VT_VEC,19791,"Vermont Electric Cooperative, Inc",Vermont Electric Cooperative,VT,COOP,Cooperative,35964,240929,Member-owned cooperative,Local/member-owned,See rebuilt price panel,No,COOP throughout the proposed panel,Second-largest 2024 COOP-bucket utility in the regional PUDL roster,COOP,Matches independently verified 2024 classification,COOP-VEC-2024,https://vermontelectric.coop/at-a-glance,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_TAUNTON,18488,City of Taunton,Taunton Municipal Lighting Plant,MA,COOP,Municipal,35684,266446,City of Taunton,Local municipal,See rebuilt price panel,No,COOP throughout the proposed panel,Third-largest 2024 COOP-bucket utility in the regional PUDL roster,COOP,Matches independently verified 2024 classification,COOP-TAUNTON-2024,https://www.taunton-ma.gov/DocumentCenter/View/5355/Annual-Comprehensive-Financial-Report-for-Fiscal-Year-Ended-June-30-2024,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_READING,15748,Town of Reading - (MA),Reading Municipal Light Department,MA,COOP,Municipal,27405,259395,Town of Reading,Local municipal,See rebuilt price panel,No,COOP throughout the proposed panel,Fourth-largest 2024 COOP-bucket utility in the regional PUDL roster,COOP,Matches independently verified 2024 classification,COOP-READING-2024,https://www.mass.gov/info-details/massachusetts-municipally-owned-electric-companies,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_CHICOPEE,3477,City of Chicopee - (MA),Chicopee Electric Light,MA,COOP,Municipal,23218,194636,City of Chicopee,Local municipal,See rebuilt price panel,No,COOP throughout the proposed panel,Fifth-largest 2024 COOP-bucket utility in the regional PUDL roster,COOP,Matches independently verified 2024 classification,COOP-CHICOPEE-2024,https://www.celd.com/about,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_MA_PEABODY,14605,City of Peabody - (MA),Peabody Municipal Light Plant,MA,COOP,Municipal,22546,193326,City of Peabody,Local municipal,See rebuilt price panel,No,COOP throughout the proposed panel,Sixth-largest 2024 COOP-bucket utility in the regional PUDL roster,COOP,Matches independently verified 2024 classification,COOP-PEABODY-2024,https://www.pmlp.com/27/About-Us,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_CT_WALLINGFORD,20038,Town of Wallingford - (CT),Wallingford Electric Division,CT,COOP,Municipal,21405,212760,Town of Wallingford,Local municipal,See rebuilt price panel,No,COOP throughout the proposed panel,Seventh-largest 2024 COOP-bucket utility in the regional PUDL roster,COOP,Matches independently verified 2024 classification,COOP-WALLINGFORD-2024,https://www.wallingfordct.gov/government/departments/public-utilities/,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_CT_NORWICH,13831,City of Norwich - (CT),Norwich Public Utilities,CT,COOP,Municipal,18870,139392,City of Norwich,Local municipal,See rebuilt price panel,No,COOP throughout the proposed panel,Eighth-largest 2024 COOP-bucket utility in the regional PUDL roster,COOP,Matches independently verified 2024 classification,COOP-NORWICH-2024,https://www.norwichct.gov/272/Public-Utilities,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_VT_BURLINGTON,2548,City of Burlington Electric - (VT),Burlington Electric Department,VT,COOP,Municipal,17861,89954,City of Burlington,Local municipal,See rebuilt price panel,No,COOP throughout the proposed panel,Ninth-largest 2024 COOP-bucket utility in the regional PUDL roster,COOP,Matches independently verified 2024 classification,COOP-BURLINGTON-2024,https://www.burlingtonelectric.com/history,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
COOP_NY_FAIRPORT,5930,Village of Fairport - (NY),Fairport Municipal Commission,NY,COOP,Municipal,16462,231269,Village of Fairport,Local municipal,See rebuilt price panel,No,COOP throughout the proposed panel,Tenth-largest 2024 COOP-bucket utility in the regional PUDL roster,COOP,Matches independently verified 2024 classification,COOP-FAIRPORT-2024,https://dps.ny.gov/location/village-fairport-electric,,https://s3.us-west-2.amazonaws.com/pudl.catalyst.coop/stable/core_eia861__yearly_sales.parquet
